,text,label,hashtags
0,we remind ourselves that love means to be willing to give until it hurts - Mother Teresa,1,
1,@user I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense.,2,
2,Too far? Sorry so is he,0,
3,Help your friend figure out how they're going to get there and where to stay if they need to spend the night,0,
4,Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright,1,
5,"@user whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved.",1,
6,Last meeting of the year tonight! 7:00 pm in Case Hall room 334A. Come one come all! Pizza and pop will be provided!,0,
7,Life is our first and most basic human right.,1,
8,I refuse to let people like you shame and insult women for accessing healthcare. Sorry. Just no.,2,
9,"RT @user ""No law can give me the right to do what is wrong.""  -Abraham Lincoln",1,
10,I will agree to gay marriage if you agree to pro-life and then adopt babies that would have been aborted.,1,
11,We live in a world where people care more about religious rights than consent & reproductive rights....,2,
12,"@user Keeping pregnant people safe is a great reason for abortion, though.",2,
13,True progressives work toward greater inclusion and protections for the marginalized. Standing up for the unborn is progressive!,1,
14,"@user You would force a woman to risk her health, sanity, and life, to continue a doomed pregnancy. Against her will. No.",2,
15,"Life, what a beautiful choice. Adoption. Not abortion.",1,
16,U know what isn't funny? Male politicians deciding what women should do with their body's.,2,
17,Planned Parenthood lines its pockets while sacrificing women and children in need at the altar of abortion.,1,
18,MT @user Senate vote on SC Pain-Capable Unborn Child Protection Act could come as early as Wed. Contact your senators!,1,
19,Equal pay for equal work? YES. Freedom from the fear of rape and sexual objectification? YES. The 'right' to abort? NO.,1,
20,You can't kill someone cause you claim you made a mistake. If true nobody would go to jail for killing their spouse.,1,
21,"Sadly, most health insurance plans don't cover abortions, so the price can be quite high....",2,
22,"FACT: 17% of today's population is equivalent to residents in New York, Florida, and Pennsylvania.  Where's the outrage for this?",0,
23,@user Plenty of reasons for Christians not to support Hillary. Not the least of which in my mind is her stand (w/Dems) on,1,
24,Yes HRC subject 2 dbl standard Smh Come on @user @user U Knew @user Donations Would b Scrutinized; Spun!,1,
25,@user including repealing the first amendment. Way to go,1,
26,"Everything Hillary touches ends up being a scam, a lie, a cover-up, or a failure. William L. Just who we want as president.",1,
27,@user @user now i can live in peace,0,
28,.@HillaryClinton is a droid & someone's programmed her to say things - thinks she doesn't have to WORK to win so she ISN'T!,1,
29,"@user bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State.",1,
30,CEO pay the target for 2016 election. From someone who makes more than most CEO's but you drank the Kool-Aid.,0,
31,@user cuz you know I'm such a feminist,0,
32,"RT @user If Hillary IS elected, I have my transition team together to smoothly move me from a racist to a sexist.",1,
33,@user Thank you for adding me to your list,0,
34,"Use your brain, keep Hillary out of the White House.Clinton2016",1,
35,"@user I agree, these are better than what you had before, like a severe cold is better than pneumonia. Good luck.",0,
36,"Sorry, Hillary's new normal folk image doesn't take away from Behgnazi & her 0 foreign policy successes as Secretary of State.",1,
37,@user @user @user @user She's too old to understand the internet...that she can be fact checked.,1,
38,@user : My name is Rebecca and my grandmother immigrated to Sunnybrook Farm. @user,0,
39,I don't want to be appointed to an Ambassador post.,0,
40,Where's the campaign store is the real question? I am ready to buy some Hillary gear,2,
41,"@user I think our country is ready for a female pres, it can't ever be Hillary",1,
